project,channel_name,follow_type,has_mention,channel_url,refresh_interval,at_time,last_read
Rooit - Play & Chat!,💝｜合作抽獎,giveaway,,https://discord.com/channels/910787224679886928/912957208982073354,,,1033778227405127861_2022-10-23T16:25:36.084000+00:00
Adorable Kittycorns,📢︱announce-forms,announcement,,https://discord.com/channels/1012694489183309895/1012694490215104635,,,1033899563976773662_2022-10-24T00:27:44.977000+00:00
Adorable Kittycorns,🤺-rumble-royale,game,,https://discord.com/channels/1012694489183309895/1027411127182823485,,,1029873969488212059_2022-10-12T21:51:28.459000+00:00
Adorable Kittycorns,🎁︱giveaways,giveaway,,https://discord.com/channels/1012694489183309895/1013441123743715399,,,1032095658343153715_2022-10-19T00:59:40.359000+00:00
Adorable Kittycorns,🎁︱collab-giveaways,giveaway,,https://discord.com/channels/1012694489183309895/1024179531742974032,,,1030827818457767966_2022-10-15T13:02:23.028000+00:00
From Tubes: SOLD OUT,📢▸announcement,announcement,,https://discord.com/channels/997789887845650552/1004922584120443020,,,1028675512693968906_2022-10-09T14:29:14.093000+00:00
From Tubes: SOLD OUT,💜▸holders-giveaways,giveaway,,https://discord.com/channels/997789887845650552/1026306163484139571,,,1033756893329494076_2022-10-23T15:00:49.644000+00:00
1Minute Alpha,📣ㅣannouncement,announcement,,https://discord.com/channels/1015675882465148938/1020734200032268318,,,1033104694572241017_2022-10-21T19:49:13.343000+00:00
1Minute Alpha,🎉ㅣpublic-giveaway,giveaway,,https://discord.com/channels/1015675882465148938/1021464167716233308,,,1033772027263324210_2022-10-23T16:00:57.855000+00:00
uwucrew,📣・announcements,announcement,,https://discord.com/channels/825404718657830982/825404718783266853,,,1032984254847647804_2022-10-21T11:50:38.275000+00:00
uwucrew,📣・community-announcements,announcement,,https://discord.com/channels/825404718657830982/948006234324357150,,,1031709177321631824_2022-10-17T23:23:56.103000+00:00
uwucrew,📣・events-announcements,announcement,,https://discord.com/channels/825404718657830982/895402626932428830,,,1033017732607770705_2022-10-21T14:03:39.995000+00:00
Flower Lolita,├🌐｜announcement,announcement,,https://discord.com/channels/929608440416968784/944945203071049799,,,1033379354274713631_2022-10-22T14:00:37.319000+00:00
Flower Lolita,├🎉｜collab-giveaway,giveaway,,https://discord.com/channels/929608440416968784/960811696044277820,,,1033613334555131924_2022-10-23T05:30:38.157000+00:00
SoudanNFT (Love Addicted Girls),🎉｜announcement-en,announcement,,https://discord.com/channels/894469112644927528/934770358102392882,,,1033590595484127343_2022-10-23T04:00:01.148000+00:00
SoudanNFT (Love Addicted Girls),🎉｜giveaway,giveaway,,https://discord.com/channels/894469112644927528/938416468301860884,,,1033616268323983442_2022-10-23T05:42:02.030000+00:00
Zero X Gakuen,🌟┃giveaway,giveaway,,https://discord.com/channels/931353412451319849/937614550524628993,,,1030476469794766909_2022-10-14T13:45:35.726000+00:00
Unknown無名吾名,🎉｜giveaway,giveaway,,https://discord.com/channels/930371558453694484/1025386778242330776,,,1033040827959746671_2022-10-21T15:35:26.356000+00:00
Unknown無名吾名,📣｜主要公告,announcement,,https://discord.com/channels/930371558453694484/963071569612136458,,,1025460168126894132_2022-09-30T17:32:36.210000+00:00
Leo Studio 里歐,📣｜公告,announcement,,https://discord.com/channels/962262543747923978/962305534898348032,,,1033346874356277250_2022-10-22T11:51:33.503000+00:00
Leo Studio 里歐,🎁｜活動公告,announcement,,https://discord.com/channels/962262543747923978/980736834529288232,,,1032994470884560896_2022-10-21T12:31:22.836000+00:00
Leo Studio 里歐,📣｜collab,giveaway,,https://discord.com/channels/962262543747923978/1019547683779772456,,,1032217966906970142_2022-10-19T09:05:40.993000+00:00
Leo Studio 里歐,🎉｜giveaway,giveaway,,https://discord.com/channels/962262543747923978/963060527096021043,,,1033381896371064843_2022-10-22T14:10:43.402000+00:00
Leo Studio 里歐,📄｜rumble-大逃殺,game,,https://discord.com/channels/962262543747923978/1006161306228883516,,,1033385754128302211_2022-10-22T14:26:03.163000+00:00
PANDAO🐼🐱,📢announcement,announcement,,https://discord.com/channels/908240596932624434/996217656292151376,,,1033255621274906624_2022-10-22T05:48:57.073000+00:00
Kyomugao: Despair Face,📢｜announce,announcement,,https://discord.com/channels/948941913225068614/954372957789114458,,,1030816037035331654_2022-10-15T12:14:54.865000+00:00
Kyomugao: Despair Face,🎁｜giveaway,giveaway,,https://discord.com/channels/948941913225068614/980437548029591612,,,1033711392148168755_2022-10-23T12:00:01.317000+00:00
Nyolings,📯┃announcements,announcement,,https://discord.com/channels/929918286894874654/963509636378542130,,,1033757432238850180_2022-10-23T15:02:58.130000+00:00
Nyolings,🎉┃giveaways,giveaway,,https://discord.com/channels/929918286894874654/983077637771628634,,,1033123106895691807_2022-10-21T21:02:23.183000+00:00
NamiLand(ナミランド),📢｜announcement,announcement,,https://discord.com/channels/1001039809990631515/1009089796901191700,,,1031244882775380089_2022-10-16T16:38:59.657000+00:00
Budda Bears,📣・announcements,announcement,,https://discord.com/channels/1008605377144827946/1016685568400314448,,,1033099298017128488_2022-10-21T19:27:46.704000+00:00
Mitama ミタマ,📢︱announcements,announcement,,https://discord.com/channels/986207449822404639/1007134961121382460,,,1033827827881087146_2022-10-23T19:43:24.121000+00:00
Second Dimension,📢│announcements-お知らせ,announcement,,https://discord.com/channels/1012233318927958066/1012238179396485130,,,1033476879686045747_2022-10-22T20:28:09.189000+00:00
Second Dimension,giveaways,giveaway,,https://discord.com/channels/1012233318927958066/1023215588656558080,,,1033850118010572840_2022-10-23T21:11:16.140000+00:00
Idamura,📰┃announcement,announcement,,https://discord.com/channels/999239557147009106/1002105770483134515,,,1033754184861876325_2022-10-23T14:50:03.895000+00:00
Idamura,🎁┃giveaways,giveaway,,https://discord.com/channels/999239557147009106/1016589115875143681,,,1032213026536968192_2022-10-19T08:46:03.117000+00:00
Ghost Buddy,📣announcements,announcement,,https://discord.com/channels/999230791966019615/999541862991925299,,,1033775887012876371_2022-10-23T16:16:18.091000+00:00
Ghost Buddy,🎁giveaway,giveaway,,https://discord.com/channels/999230791966019615/999527053558808636,,,1031045964087173130_2022-10-16T03:28:33.746000+00:00
